Artist,Title,Date,Period,Description,Material,Dimensions,Collection,Classification,Signature,Accession Number,link,Alternative Title,Place Made,Subject
Leon Francesco Morrocco (Scottish b.1942),Figures and Sunshine,1962,20th century; 1960s,NA,graphite (mineral)/inorganic material/materials (substances); watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,pencil drawings; watercolours (paintings),NA,EU2274,https://collections.ed.ac.uk/art/record/21400?highlight=*:*,NA,NA,NA
Leon Francesco Morrocco (Scottish b.1942),Nude Male and Horse,Circa 1963,20th century; 1950s; 1960s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2273,https://collections.ed.ac.uk/art/record/21399?highlight=*:*,NA,NA,NA
Leonard Baskin,Man with Spring Plants,1953,20th century; 1950s,NA,NA,54cm W x 64cm H (framed),Art Collection; Edinburgh College of Art,prints (visual works); engravings (prints),NA,EU2562,https://collections.ed.ac.uk/art/record/21687?highlight=*:*,NA,NA,NA
Leonard I. H. Gray,Unknown,NA,1950s; 20th century,Full-length profile portrait of standing nude male viewed from behind. Arms raised to shoulder height and elbows bent. Right foot forward and body twisted slightly to left.,chalk,33cm (W) x 50.6cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); chalk drawings,NA,EU3577,https://collections.ed.ac.uk/art/record/53486?highlight=*:*,NA,NA,NA
Leonard I. H. Gray,Unknown,1952,1950s; 20th century,Full length controposto portrait of standing male nude figure. Right leg forward and right hand on hip. Figure is looking towards the right of the composition.,Pen and Wash/Drawing; Conté/Drawing,13.2cm (W) x 36cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pen and wash drawings,NA,EU3579,https://collections.ed.ac.uk/art/record/53488?highlight=*:*,NA,NA,NA
Leonard I. H. Gray,Unknown,NA,1950s; 20th century,"Full-length portrait of recling male nude, lying across arms of chair. Arms and legs are hanging limp and head is rolled towards the left of the composition.",chalk,33.2cm (W) x 50.7cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); chalk drawings,NA,EU3576,https://collections.ed.ac.uk/art/record/53485?highlight=*:*,NA,NA,NA
Leonard I. H. Gray,Unknown,NA,1950s; 20th century,"Full-length profile portrait of standing nude male. Left leg forward and right hand on hip, looking towards the right of the composition.",graphite (mineral)/inorganic material/materials (substances),28.6cm (W) x 44.2cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3575,https://collections.ed.ac.uk/art/record/53484?highlight=*:*,NA,NA,NA
Leonard I. H. Gray,Unknown,1952,1950s; 20th century,Head and shoulders profile portrait of female figure looking to right of composition. Head rasied slightly and hair loosely tied into bun.,Pen and Wash/Drawing,11cm (W) x 16.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pen and wash drawings,NA,EU3578,https://collections.ed.ac.uk/art/record/53487?highlight=*:*,NA,NA,NA
Leonard I. H. Gray,Still Life with Bols Bottle,NA,20th century; 1940s; 1950s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3228,https://collections.ed.ac.uk/art/record/22673?highlight=*:*,NA,NA,NA
"Leonard Rosoman (b.1913, d.2012)",Two Pipers,Unknown,NA,NA,paper (fibre product); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,prints (visual works); lithographs,Leonard Rosoman signature,EU2627,https://collections.ed.ac.uk/art/record/21752?highlight=*:*,NA,NA,NA
Leonie Neuweger,The Etiquette of Landscape and Face: Passage 2,2015,NA,Project book. Awarded the 2015 ECA Art Collections Purchase Prize,NA,NA,Art Collection; Edinburgh College of Art,NA,NA,EU3902,https://collections.ed.ac.uk/art/record/53782?highlight=*:*,NA,NA,NA
Leonie Neuweger,The Etiquette of Landscape and Face: Passage 1,2015,NA,Project book. Awarded the 2015 ECA Art Collections Purchase Prize,NA,NA,Art Collection; Edinburgh College of Art,NA,NA,EU3901,https://collections.ed.ac.uk/art/record/53781?highlight=*:*,NA,NA,NA
Leonore D Mackay,Untitled - Nude Male in the Forest,1963,20th century; 1960s,"Silkscreen print in browns, oranges, and green of a male nude sitting turned away surrounded by vegetation.",Print,NA,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works); print 1940-2000; screen prints,NA,EU4159,https://collections.ed.ac.uk/art/record/99395?highlight=*:*,NA,NA,NA
Lesley A. Crave,Untitled,11 Nov 1977,20th century; 1970s,Abstract print,NA,80cm H x 64cm W,Art Collection; Edinburgh College of Art,NA,lesley Crave signature,EU2762,https://collections.ed.ac.uk/art/record/21885?highlight=*:*,NA,NA,NA
Lesley Crawford,Standing Male Nude with Stick,1958,20th century; 1950s,Gained a Degree from ECA in 1958.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1983,https://collections.ed.ac.uk/art/record/21110?highlight=*:*,NA,NA,NA
Lesley Crawford,Standing Male Nude,1958,20th century; 1950s,Gained a Degree from ECA in 1958.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1982,https://collections.ed.ac.uk/art/record/21109?highlight=*:*,NA,NA,NA
Lesley M. Johns,3 peakcocks all sitting in similar position on tree branch,1962-1963,20th century; 1960s,"Drawing in chacoal, graphite, and pastel on paper of a blue and brown peacock sitting on a branch.",Oil pastel,NA,Art Collection; Edinburgh College of Art,fine art; drawings 1901-2000; drawings (visual works); pastel; charcoal drawings; pencil drawings,Reverse of the paper it is mounted to contains the signature 'Johns' in the centre. Written in the left lower centre is '3 peakcocks all sitting in similar position on tree branch'. 'Blue' and 'brown' are also written next to parts of the feathers to indicate colour.,EU4095,https://collections.ed.ac.uk/art/record/99331?highlight=*:*,NA,NA,NA
Lesley M. Johns,Zoo 9th May,1962-1963,20th century; 1960s,"Drawing in chacoal, graphite, and pastel on paper of a rainbow colored parrot an a white cockatoo.",Oil pastel,NA,Art Collection; Edinburgh College of Art,fine art; drawings 1901-2000; drawings (visual works); pastel; charcoal drawings; pencil drawings,Reverse of the paper it is mounted to contains the signature 'Johns' in the centre.,EU4094,https://collections.ed.ac.uk/art/record/99330?highlight=*:*,NA,NA,NA
Lesley M. Johns,Self Portrait,NA,NA,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3287,https://collections.ed.ac.uk/art/record/22731?highlight=*:*,NA,NA,NA
Leslie Drummond,Seated Female Nude,1954,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2132,https://collections.ed.ac.uk/art/record/21259?highlight=*:*,NA,NA,NA
Leslie Johns,Portrait of a Man,1962,20th century; 1960s,Drawing from an ECA examination 1962.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2136,https://collections.ed.ac.uk/art/record/21263?highlight=*:*,NA,NA,NA
Leslie Johns,Portrait of a Woman with Teacup,1962,20th century; 1960s,"Drawing from an ECA examination 1962. Reverse: architectural sketch, possibly of a church facade.",graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2137,https://collections.ed.ac.uk/art/record/21264?highlight=*:*,NA,NA,NA
Leslie Johns,Unknown,1963,1960s,Watercolour landscape with sea and mountains,watercolour (paint)/paint (coating),32.5cm (W) x 24cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); watercolours (paintings),NA,EU3361,https://collections.ed.ac.uk/art/record/50435?highlight=*:*,NA,NA,NA
Leslie Johns,Unknown,1962,1960s,Nude female figure sitting on bench with one leg outstretched and the other falling to the side with the foot in one of a pair of red slippers. Radiator in background.,graphite (mineral)/inorganic material/materials (substances); watercolour (paint)/paint (coating),36cm (W) x 36cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); watercolours (paintings),NA,EU3405,https://collections.ed.ac.uk/art/record/50479?highlight=*:*,NA,NA,NA
Leslie Johns,Unknown,1962,1960s,Elderly male figure kneeling on mattress with arms resting on stool to his left,ink/coating (material)/materials (substances),27.5cm (W) x 32cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); ink,NA,EU3428,https://collections.ed.ac.uk/art/record/50502?highlight=*:*,NA,NA,NA
Leslie Johns,Untitled,1962,20th century; 1960s,Pencil drawing of a reclining female nude,graphite (mineral)/inorganic material/materials (substances),31.2cm H x 59cm W (with mount) 27.2cm H x 54.5cm W (without mount),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU2642,https://collections.ed.ac.uk/art/record/21767?highlight=*:*,NA,NA,NA
Leslie Johns,Untitled,1962,20th century; 1960s,Portrait of a man with a rifle.,graphite (mineral)/inorganic material/materials (substances),52cm H x 25cm W (with mount) 51.2cm H x 22.8cm W (without mount),Art Collection; Edinburgh College of Art,drawings (visual works),Johns signature on reverse.,EU2637,https://collections.ed.ac.uk/art/record/21762?highlight=*:*,NA,NA,NA
Leslie McConnell,Untitled - Abstract Collage,1969,20th century; 1960s,"Abstract collage of cut paper, gouache, graphite, and charcoal with three half orbs stacked at the centre over a blue mountainesque object.",mixed media/materials (substances),NA,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); pencil drawings; charcoal drawings; watercolours (paintings); gouache,'168' on bottom right of frame,EU4172,https://collections.ed.ac.uk/art/record/99408?highlight=*:*,NA,NA,NA
Leslie McConnell,Reclining Female Nude,1969,20th century; 1960s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2147,https://collections.ed.ac.uk/art/record/21274?highlight=*:*,NA,NA,NA
Leszek Muszynski,Seated Female Nude,1949,20th century; 1940s,Gained Diploma in 1948 and PG in 1949 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1948,https://collections.ed.ac.uk/art/record/21075?highlight=*:*,NA,NA,NA
Leszek Muszynski,Portrait of a Woman,1949,20th century; 1940s,Gained Diploma in 1948 and PG in 1949 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1949,https://collections.ed.ac.uk/art/record/21076?highlight=*:*,NA,NA,NA
Leszek Muszynski,Portrait of Woman,1949,20th century; 1940s,Potrait of a woman,oil paint (paint)/paint (coating); wood board/plant material/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3069,https://collections.ed.ac.uk/art/record/22515?highlight=*:*,NA,NA,NA
Leszek T. Muszynski,Portrait of a Girl,1949,20th century; 1940s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3238,https://collections.ed.ac.uk/art/record/22682?highlight=*:*,NA,NA,NA
Lilian Willey,Lillian Willey collar,1950,1950s; 20th century,"Collar. White net decorated with applied braid and pattern darning worked with a fine Tambour hook producing a tiny Chain Stitch. Lillian Willey, Bromley, 1950. Great Britain.",NA,NA,Art Collection; Edinburgh College of Art; Embroidery Collection,NA,NA,EU5583,https://collections.ed.ac.uk/art/record/102707?highlight=*:*,NA,Europe; Great Britain; United Kingdom,NA
Lilias Stirling,Seated Female Nude,1953,20th century; 1950s,Gained a Diploma in 1953 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1817,https://collections.ed.ac.uk/art/record/20944?highlight=*:*,NA,NA,NA
Lilias Stirling,Portrait of a Woman,1953,20th century; 1950s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3233,https://collections.ed.ac.uk/art/record/22677?highlight=*:*,NA,NA,NA
Lin Hunter,Untitled,1972,20th century; 1970s,"Repeated image of a female nude, without arms, lower legs, or head. Part of the artist's 1972 Edinburgh College of Art Diploma portfolio.",NA,79cm H x 55cm W,Art Collection; Edinburgh College of Art,NA,Lin Hunter signature,EU2711,https://collections.ed.ac.uk/art/record/21834?highlight=*:*,NA,NA,NA
Linda A. Henniker,Abstract Composition in Grey with Circle,1989,20th century; 1980s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3265,https://collections.ed.ac.uk/art/record/22709?highlight=*:*,NA,NA,NA
Linda A. Henniker,Abstract Composition in White with Circle,1989,20th century; 1980s,Abstract composition,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3068,https://collections.ed.ac.uk/art/record/22514?highlight=*:*,NA,NA,NA
Linda Gilliard,Playground,1989,20th century; 1980s,NA,oil paint (paint)/paint (coating); canvas board/cardboard/paper (fibre product),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3189,https://collections.ed.ac.uk/art/record/22634?highlight=*:*,NA,NA,NA
Linda Hennker,Unknown,NA,20th century,White abstract lettering over ochre background. Overlaid with words and scratching in graphite.,oil paint (paint)/paint (coating),39cm (W) x 51cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3301,https://collections.ed.ac.uk/art/record/50375?highlight=*:*,NA,NA,NA
Lindsay Marshall,Unknown,NA,20th century,Head and shoulders profile portrait left of centre on blue field. Figure looking to right of composition with brown hair and a plain t-shirt.,mixed media/materials (substances); paint (coating); graphite (mineral)/inorganic material/materials (substances); Conté/Drawing,NA,Art Collection; Edinburgh College of Art,mixed media works; paintings (visual works); pencil drawings,NA,EU3655,https://collections.ed.ac.uk/art/record/53564?highlight=*:*,NA,NA,NA
Lindsay Moran,Abstract Still Life,Circa 1975,20th century; 1970s; 1980s,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),91.4 x 91.4 cm,Art Collection; Edinburgh College of Art,NA,NA,EU1634,https://collections.ed.ac.uk/art/record/20761?highlight=*:*,NA,NA,NA
